Store,Category,Item,Early Bird,Rebate,Price
AAFES,Apparel >> Women's,Sharagano Entire Stock (Assorted styles and colors) (Size S-XL),,,$15.00
AAFES,Apparel >> Women's,Sleep Sets (Assorted Colors),,,$15.00
AAFES,Apparel >> Women's,Sleep ZENista Lounge Pants (Assorted Colors),,,$7.00
AAFES,Apparel >> Women's,The North Face Ladies fave-Our-ite Hoodie (Assorted Colors),,,$29.00
AAFES,Apparel >> Women's,The North Face Ladies Front Zip Hoodie (Assorted Colors),,,$49.00
AAFES,Apparel >> Women's,Tommy Hilfiger Bootcut Jeans,,,$19.00
AAFES,Apparel >> Women's,Tommy Hilfiger Skinny Leg Jeans,,,$19.00
AAFES,Apparel >> Women's,Tommy Hilfiger Sleep Set (Assorted Colors),,,$19.00
AAFES,Apparel >> Women's,Under Armour Storm Armour Womens Fleece Hoodie (Assorted Colors),,,$35.00
AAFES,Appliances,Keurig K65/B60 Special Edition Brewing System,early bird,,$99.00
AAFES,Automobile,Mobil 1 Synthetic 1-Qt. Motor Oil,,,$3.99
AAFES,Baby,Boys Pants 3-pc. Set (Assorted Colors),,,$5.00
AAFES,Cameras >> Accessories,Manfrotto Compact Tripod (MKC3-H01),,,$59.95
AAFES,Cameras >> Digital Cameras,FujiFilm Finepix JX680 16MP Red Digital Camera,,,$59.95
AAFES,Cameras >> Digital Cameras,FujiFilm Finepix S8400W JX 16.2MP Digital Camera w/ 8GB Memory Card & Case Bundle,,,$249.95
